Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Min Exposure,Projected Ownership,Expected Success,Expected Failure,Expected Value,Min Deviation,Max Deviation
44002-84679,PF,Marvin,Marvin Bagley,Bagley,27.10769184,13,4700,SAC@OKC,SAC,OKC,O,Foot,,0.7,0,0.6,0.2,0.2,1.48,0.3,0.5
44002-110322,SG,Jordan,Jordan Poole,Poole,15.26274558,51,4600,LAL@GS,GS,LAL,,,,0.7,0,0.2,0.3,0.3,1.49,0.3,0.5
44002-80819,PF,Harry,Harry Giles,Giles,14.45806491,31,4500,SAC@OKC,SAC,OKC,,,,0.7,0,0.5,0.4,0.4,1.5,0.3,0.5
44002-80814,PG,Dennis,Dennis Smith,Smith,14.37575739,33,4400,NY@PHI,NY,PHI,,,,0.7,0,0.4,0.5,0.5,1.51,0.3,0.5
44002-84695,SG,Gary,Gary Trent,Trent,12.98260896,46,4400,POR@IND,POR,IND,,,,0.7,0,0.3,0.6,0.6,1.52,0.3,0.5
44002-84691,PG,Shake,Shake Milton,Milton,12.84615385,26,4300,NY@PHI,PHI,NY,,,,0.7,0,0.6,0.7,0.7,1.53,0.3,0.5
44002-110323,PF,Eric,Eric Paschall,Paschall,22.38333243,54,4300,LAL@GS,GS,LAL,,,,0.7,0,0.2,0.8,0.8,1.54,0.3,0.5
44002-84719,PG,Aaron,Aaron Holiday,Holiday,19.3196076,51,4200,POR@IND,IND,POR,,,,0.7,0,0.5,0.9,0.9,1.55,0.3,0.5
44002-58377,PF,Kyle,Kyle Kuzma,Kuzma,20.3170218,47,4100,LAL@GS,LAL,GS,,,,0.7,0,0.4,0.1,0.1,1.56,0.3,0.5
44002-111671,PG,Ky,Ky Bowman,Bowman,17.04186018,43,4100,LAL@GS,GS,LAL,,,,0.7,0,0.3,0.2,0.2,1.57,0.3,0.5
44002-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,15.62931034,58,4100,NY@PHI,PHI,NY,,,,0.7,0,0.6,0.3,0.3,1.58,0.3,0.5
